timestamp,user_id,question,curriculum_week,curriculum_topic
2025-12-02T09:01:12Z,user_01,"파이썬에서 변수를 선언할 때 자료형을 지정하지 않는 이유가 뭔가요?",1,"파이썬 기초"
2025-12-02T09:03:55Z,user_02,"input() 함수로 받은 값이 숫자처럼 보이는데 실제로는 왜 문자열인가요?",1,"파이썬 기초"
2025-12-02T09:05:10Z,user_03,"파이썬 리스트와 배열은 어떤 차이가 있는지 궁금해요.",1,"파이썬 기초"
2025-12-02T09:07:28Z,user_04,"print()에서 sep과 end 파라미터는 언제 사용하나요?",1,"파이썬 기초"
2025-12-02T09:09:40Z,user_05,"if 조건문에서 들여쓰기가 중요한 이유는 무엇인가요?",1,"파이썬 기초"
2025-12-02T09:12:13Z,user_06,"range(10)이 0부터 시작하는 이유가 있나요?",1,"파이썬 기초"
2025-12-02T09:14:55Z,user_07,"리스트를 복사할 때 = 로 하면 안 되고 copy를 써야 하는 이유가 뭔가요?",1,"파이썬 기초"
2025-12-02T09:17:32Z,user_08,"dict에 키로 리스트를 사용할 수 없는 이유는 무엇인가요?",1,"파이썬 기초"
2025-12-02T09:19:40Z,user_05,"while 문이 멈추지 않을 때 디버깅하는 팁이 있을까요?",1,"파이썬 기초"
2025-12-02T09:21:55Z,user_02,"a += 1 과 a = a + 1 의 차이가 있나요?",1,"파이썬 기초"
2025-12-02T09:24:12Z,user_03,"파이썬에서 pass 문은 어떤 상황에서 쓰나요?",1,"파이썬 기초"
2025-12-02T09:26:44Z,user_04,"리스트에서 pop과 remove의 차이가 헷갈려요.",1,"파이썬 기초"
2025-12-02T09:28:59Z,user_06,"bool 타입이 정수형을 상속한다는 말을 이해하기 어렵습니다.",1,"파이썬 기초"
2025-12-02T09:31:41Z,user_08,"파이썬에서 == 와 is 의 차이가 뭐예요?",1,"파이썬 기초"
2025-12-02T09:34:10Z,user_01,"문자열이 immutable이라는 건 어떤 의미인가요?",1,"파이썬 기초"
2025-12-02T09:36:33Z,user_05,"리스트를 for문으로 돌릴 때 index도 같이 얻는 방법이 있나요?",1,"파이썬 기초"
2025-12-02T09:38:47Z,user_07,"딕셔너리 key 순서가 파이썬 3.7부터 유지된다고 하는데 왜 그런가요?",1,"파이썬 기초"
2025-12-02T09:41:02Z,user_03,"type casting 과정에서 발생하는 오류는 어떤 경우가 있나요?",1,"파이썬 기초"
2025-12-02T09:43:15Z,user_02,"input으로 받은 값을 int로 변환할 때 에러가 나는 이유는 무엇인가요?",1,"파이썬 기초"
2025-12-02T09:45:33Z,user_08,"파이썬에서 주석 처리된 코드가 많은데 관리 팁이 있을까요?",1,"파이썬 기초"

2025-12-03T10:01:55Z,user_04,"함수에서 return을 여러 번 사용할 수도 있나요?",2,"파이썬 심화"
2025-12-03T10:03:40Z,user_05,"가변 매개변수 *args, **kwargs는 언제 쓰나요?",2,"파이썬 심화"
2025-12-03T10:05:44Z,user_06,"list comprehension과 for문 방식 중 어떤 게 더 효율적이에요?",2,"파이썬 심화"
2025-12-03T10:08:20Z,user_03,"lambda 함수로 여러 줄 표현은 정말 불가능한가요?",2,"파이썬 심화"
2025-12-03T10:10:33Z,user_08,"try-except에서 finally는 어떤 역할인가요?",2,"파이썬 심화"
2025-12-03T10:12:55Z,user_07,"파이썬의 예외 처리에서 구체적인 예외를 먼저 써야 하는 이유는요?",2,"파이썬 심화"
2025-12-03T10:15:13Z,user_02,"재귀 함수가 느린 이유는 무엇인가요?",2,"파이썬 심화"
2025-12-03T10:17:40Z,user_01,"이터레이터와 제너레이터의 차이를 설명해 주실 수 있나요?",2,"파이썬 심화"
2025-12-03T10:19:54Z,user_04,"yield가 return과 다른 점이 뭔가요?",2,"파이썬 심화"
2025-12-03T10:22:32Z,user_03,"map과 filter를 잘 사용하는 팁이 있을까요?",2,"파이썬 심화"
2025-12-03T10:25:41Z,user_06,"판다스에서 DataFrame의 shape이 어떻게 결정되나요?",2,"판다스"
